,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language,User Created,Astroturf,Fake follower,Financial,Other,Overall,Self declared,Spammer,Cap,Bot scores
957,957,957,2022-02-10 22:08:51+00:00,1.4919E+18,"@tom_watson Afghanistan, Iraq, Syria, Libya ruined. Apartheid in Israel. Supporting fascist Banderistas in  Ukraine to the verge of war with Russia. NATO is its own worst enemy, an aggressive organisation which is a tool of US hegemonism.",hulme_edward,16.0,Edward Hulme ğŸ’™,en,14/11/2019,0.73,0.13,0.0,0.27,0.22,0.01,0.0,0.717691108,0.9900843
6111,6111,6111,2022-02-11 22:45:25+00:00,1.49227E+18,"Vitalik Buterin takes a stand against Russian aggression 
âœŠï¸âœŠï¸âœŠï¸

#Ukraine #Taiwan #China #Russia #Ethereum 
https://t.co/NgZyxXukMm",twigwam,3.0,twigwam.tez,en,16/12/2010,0.75,0.15,0.0,0.21,0.19,0.02,0.01,0.676361906,0.99936783
7593,7593,7593,2022-02-11 22:06:41+00:00,1.49226E+18,#Ukraine Will Resist the coming #Russia Military #Invasion by #Putin's #RussianArmy #DefendUkraine #DefendDemocracy against #VladimirPutin #WWIII https://t.co/ttw5sGAiA5,DannyVoglesong,5.0,Daniel Voglesong,en,26/08/2011,0.71,0.42,0.03,0.59,0.71,0.02,0.01,0.798312364,0.99222076
8355,8355,8355,2022-02-12 23:40:20+00:00,1.49264E+18,Laughable if not pathetic Russia will Obliterate the Fascist Neo Nazi Ukraine weaklings https://t.co/fc2Qzimkjx,carter_embrey,0.0,CARTER EMBREY,en,10/04/2017,0.79,0.41,0.03,0.49,0.79,0.01,0.01,0.810078382,0.9883398
11419,11419,11419,2022-02-12 21:12:11+00:00,1.49261E+18,Loser Biden threatens Putin with nude photos of Jill Biden if Russia takes Ukraine https://t.co/YW3VqC4W7Q via @nypost,Mr_Holtzworth,1.0,Trevor 1,en,22/06/2011,0.8,0.18,0.02,0.53,0.8,0.0,0.01,0.812935016,0.98447573
11872,11872,11872,2022-02-12 20:51:13+00:00,1.4926E+18,"Re #Ukraine
I think all this #Putin drama/BS is just a publicity stunt!

Cuz, it's like, anytime more of #Trump's criminal behavior comes out &amp; it's all over the news, Putin will act up &amp; then the #news is all about #Russia 
ğŸ¤¬ğŸ–• #Putin #Trump &amp; @GOP â˜ ï¸
&amp; ğŸ’£ #Russia already!ğŸ¤·â€â™€ï¸ğŸ¤¦â€â™€ï¸",IceCold_Blaze,2.0,âœ¨LisağŸŒ·VotesğŸ’BlueğŸ¹ğŸ™‹â€â™€ï¸ğŸŒŠğŸ†˜ğŸŒŠ,en,24/07/2019,0.85,0.2,0.02,0.38,0.85,0.0,0.01,0.833918169,0.98141414
13835,13835,13835,2022-02-13 22:07:12+00:00,1.49298E+18,"#WritingCommunity #writing #amwriting #Ukraine #Russia #Putin #Biden #UkraineInvasion #UkraineCrisis #UkraineWillResist #ukrainerussia #UkraineWar #Ukrainekrise 
How the Ukraine Crisis Could Save Joe Biden â€“ Simily https://t.co/knjnULlvdQ",DanTheLyons,2.0,vortex5ğŸŒšğŸŒğŸŒ—ğŸŒ“ğŸŒ–ğŸŒ”,en,23/11/2018,0.83,0.38,0.0,0.28,0.83,0.0,0.0,0.824091714,0.99770606
15838,15838,15838,2022-02-13 20:20:32+00:00,1.49296E+18,"Plse help re-tweet far and wide, #Ukraine is repeatedly demonstrating a desire for #peace, #diplomacy, #dialogueâ€¦and is calling on Russia to #act in good faith.  @brhodes  @OlgaNYC1211 @RepSwalwell @RepAdamSchiff @SpeakerPelosi @ProjectLincoln @MeidasTouch @McFaul @AVindman ğŸ‘‡ğŸ½ https://t.co/bUNOgH48di",RocBrady,1.0,Roc Brady United Against Gun Violence,en,01/08/2014,0.8,0.25,0.0,0.34,0.8,0.01,0.03,0.812935016,0.9981267
18572,18572,18572,2022-02-14 22:04:18+00:00,1.49335E+18,@glennkirschner2 Ukraine would already be part of Russia if TFG had been reelected...,Jefiner68,9.0,ğŸ‡ºğŸ‡¦Jenny from da blockğŸ‡ºğŸ‡¸SlavaUkrainiğŸ‡ºğŸ‡¦,en,20/12/2019,0.87,0.17,0.01,0.36,0.87,0.03,0.0,0.845754353,0.9860055
19059,19059,19059,2022-02-14 21:45:10+00:00,1.49334E+18,Mark the Ukraine square and the implied Shades Russia square.  https://t.co/WG0BOhR4dK #cdnpoli #OttawaStrong #Ottawa #BriefingBingo,raincoaster,0.0,raincoaster,en,24/07/2008,0.76,0.18,0.0,0.23,0.76,0.0,0.0,0.803670651,0.999419
20211,20211,20211,2022-02-15 23:58:33+00:00,1.49374E+18,"#WritingCommunity #writing #amwriting #Ukraine #Russia #UkraineInvasion #UkraineConflict #UkraineWillResist 
Ukraine, 2022 â€“ Simily https://t.co/was3LHloNr",DanTheLyons,2.0,vortex5ğŸŒšğŸŒğŸŒ—ğŸŒ“ğŸŒ–ğŸŒ”,en,23/11/2018,0.84,0.4,0.0,0.25,0.84,0.0,0.0,0.828754988,0.99548364
20890,20890,20890,2022-02-15 23:17:48+00:00,1.49373E+18,"Fox News reporting on HillaryGate.
MSNBC reporting on Trumpâ€™s electors that are being subpoenaed.
CNN reporting on the impending on the Russia/Ukraine crisis.
MSM is a cancer to Democracy.",SmellyCat2Sunny,6.0,ğŸŠSunny DaysğŸ‡ºğŸ‡¸Deplorable Hoosier,en,18/11/2020,0.72,0.21,0.0,0.41,0.72,0.0,0.01,0.798989041,0.98831046
21377,21377,21377,2022-02-15 22:52:08+00:00,1.49372E+18,"Mexican scientist who led double life pleads guilty to spying for Russia in Miami. 
Who else has RU Co-opted?  #MadisonCawthorn 
#CawthornsRUwife 
#TrumpsWife 
Deport all Russians &amp; confiscate assets if #Putin attacks #Ukraine  Magnitsky Act on steroids.  https://t.co/46e1Wifpv7",Tejaas23,0.0,ğŸŒ» FlyAwayğŸ³ï¸â€ğŸŒˆâš¢,en,20/10/2012,0.9,0.13,0.01,0.37,0.9,0.0,0.0,0.867011613,0.9956287
24170,24170,24170,2022-02-16 23:52:41+00:00,1.4941E+18,"Yesterday, a cyberattack on the Defense Ministry, army and state banks was the largest of its kind in Ukraineâ€™s history and â€œbore traces of foreign intelligence services,â€ a top Ukrainian cybersecurity official said. And, still no evidence Russia is pulling backâ€¦",OddswithGOP,2.0,Everett,en,03/03/2018,0.73,0.12,0.0,0.13,0.13,0.0,0.01,0.553972572,0.9883847
24781,24781,24781,2022-02-16 23:08:05+00:00,1.49409E+18,Ukraine cyberattack: Russia blamed for â€˜largestâ€™ disruption of its kind in countryâ€™s history https://t.co/IEPHci9aRT #FoxNews,jameswwhite2017,0.0,James W. White,en,13/12/2015,0.74,0.17,0.01,0.38,0.74,0.0,0.01,0.800879918,0.9968332
25121,25121,25121,2022-02-16 22:35:05+00:00,1.49408E+18,"Ukraine cyberattack: Russia blamed for â€˜largestâ€™ disruption of its kind in countryâ€™s history

https://t.co/nWHvi7iS0H",JJDJ1187,0.0,. #ImpeachBiden/Harris,en,30/10/2009,0.8,0.49,0.0,0.4,0.8,0.0,0.07,0.812935016,0.9968504
25648,25648,25648,2022-02-16 21:53:13+00:00,1.49407E+18,Ukraine cyberattack: Russia blamed for â€˜largestâ€™ disruption of its kind in countryâ€™s history - Fox News https://t.co/TCZaCfEwxs via @GoogleNews,crutchfoot,0.0,jackie callahan,en,06/03/2009,0.85,0.14,0.01,0.33,0.85,0.0,0.0,0.833918169,0.99776185
26240,26240,26240,2022-02-16 21:08:46+00:00,1.49406E+18,"Ukraine cyberattack: Russia blamed for â€˜largestâ€™ disruption of its kind in countryâ€™s history

https://t.co/9IESeLxEkY",Robinsm86398738,0.0,RAAS,en,27/02/2014,0.72,0.23,0.0,0.32,0.72,0.03,0.01,0.798989041,0.9968504
26884,26884,26884,2022-02-16 20:25:47+00:00,1.49405E+18,Ukraine cyberattack: Russia blamed for â€˜largestâ€™ disruption of its kind in countryâ€™s history https://t.co/qf6DyLrjI6 #FoxNews,RamonaEid,0.0,Ramona Eid,en,23/10/2009,0.78,0.18,0.02,0.5,0.78,0.0,0.0,0.807603545,0.9968332
29670,29670,29670,2022-02-17 22:11:18+00:00,1.49443E+18,@RadioFreeTom @TheAtlantic I bet grifter Trump had a deal with Putin that in his â€œsecondâ€ term he would let Russia take Ukraine but it didnâ€™t go that way so selfish dictator Putin decide https://t.co/XZ6d67XKRC I am taking what I think is mine!,SeabreezeCheryl,2.0,ğŸ‡ºğŸ‡¸ğŸŒŠğŸŒ»CherylğŸŒ»ğŸŒŠğŸ‡ºğŸ‡¸,en,25/03/2015,0.74,0.18,0.0,0.21,0.17,0.02,0.0,0.641418422,0.98476005
32353,32353,32353,2022-02-18 23:39:23+00:00,1.49482E+18,"Biden is pushing Putin into war.
""Anytime now, Russia will invade Ukraine, like... now...right ...now...Pssst...
C'mon man...That's your que...
Putin Attack!"" https://t.co/R5EBS4YMEf",JWillDog,0.0,J Will Dog,en,31/07/2019,0.86,0.39,0.01,0.25,0.86,0.0,0.02,0.839586355,0.9807546
33442,33442,33442,2022-02-18 23:07:55+00:00,1.49481E+18,@hendriksmacquin BS! Putin wants Ukraine back! He wants the OLD RUSSIA back! He has stated this numerous times!,coug1988,0.0,Michelle Oconnor,en,11/01/2010,0.77,0.04,0.0,0.26,0.14,0.0,0.0,0.577886208,0.9905545
35827,35827,35827,2022-02-19 23:57:57+00:00,1.49519E+18,@akoz33 @ScottAdamsSays The only thing here is that there is no reason for Russia to invade Ukraine.,tony_sanky,0.0,Captain Haddockâ€™s insults,en,03/01/2016,0.71,0.1,0.0,0.38,0.21,0.0,0.0,0.705337782,0.9834448
36444,36444,36444,2022-02-19 23:30:34+00:00,1.49518E+18,@Carole_2022 @JamesClimateGuy @POTUS @DeadlineWH @maddow @MeidasTouch I think it's obvious Ukraine poses no threat to Russia.,GregGFoos,2.0,Greg Foos,en,29/08/2019,0.91,0.28,0.0,0.39,0.91,0.0,0.0,0.874857504,0.9855584
40130,40130,40130,2022-02-20 23:47:11+00:00,1.49555E+18,"#WritingCommunity #ShamelessSelfPromoSunday #Ukraine #Russia #writing #amwriting #UkraineRussiaCrisis #UkraineCrisis #UkraineWar #UkraineWillResist 
How the Ukraine Crisis Could Save Joe Biden â€“ Simily https://t.co/knjnULlvdQ",DanTheLyons,1.0,vortex5ğŸŒšğŸŒğŸŒ—ğŸŒ“ğŸŒ–ğŸŒ”,en,23/11/2018,0.82,0.5,0.0,0.33,0.82,0.0,0.03,0.819914854,0.99389577
40150,40150,40150,2022-02-20 23:46:21+00:00,1.49555E+18,"#WritingCommunity #ShamelessSelfPromoSunday #poem #poetry #poetrycommunity #Ukraine #Russia #UkraineRussiaCrisis #UkraineCrisis #UkraineWillResist 
Ukraine, 2022 â€“ Simily https://t.co/was3LHloNr",DanTheLyons,3.0,vortex5ğŸŒšğŸŒğŸŒ—ğŸŒ“ğŸŒ–ğŸŒ”,en,23/11/2018,0.82,0.5,0.0,0.33,0.82,0.0,0.03,0.819914854,0.9975233
40718,40718,40718,2022-02-20 23:20:26+00:00,1.49554E+18,"EXACTLYğŸ’¯â€¼ï¸How many SECRETS did TFG GV to RUSSIA??ğŸ§Is THS the REASON PUTIN feels SO EMBOLDENED to START WW3?
UKRAINE FAMILIES R INNOCENT VICTIMS of a GENOCIDEğŸ’”
THE #GOPTraitors SUPPORT!ğŸš«âš–ğŸ˜¤ğŸŠğŸ’©
#UkraineWillResist âœŠğŸ½
#Ukraine
#GQPTraitorsToDemocracy 
#TrumpCrimeFamilyForPrison https://t.co/Q5CkkR2jE9",PlaschT,0.0,T A Madrid-Plasch,en,05/07/2018,0.94,0.41,0.02,0.38,0.94,0.02,0.01,0.899551324,0.9951587
41393,41393,41393,2022-02-20 22:48:13+00:00,1.49553E+18,"Russia blows past another off ramp in the Ukraine crisis
https://t.co/COb4ONToek",LeChatNoire4,2.0,Le Chat Biden Democrat,en,27/03/2014,0.83,0.17,0.02,0.42,0.83,0.02,0.01,0.824091714,0.9943193
42301,42301,42301,2022-02-20 22:10:20+00:00,1.49552E+18,US bares intel on Russia in risky strategy to prevent Ukraine invasion https://t.co/1k8BZw2eeO via @YahooNews,AMiceMarina,0.0,Aida MarinağŸ‡ºğŸ‡¦,en,19/05/2009,0.85,0.39,0.02,0.52,0.85,0.0,0.04,0.833918169,0.99443793
42551,42551,42551,2022-02-20 21:59:46+00:00,1.49552E+18,"THE POS GQP'S""TRUE COLORS""...ORANGE!!ğŸŠğŸ’©
INFLATION is RISING BC of ths NARRATIVE of TFG &amp;th CORRUPT GQP!
AUTH DICTATORSHIP=GQP SUPPORT of RUSSIA/the TRCKRS in CANADA!ğŸ˜·ğŸ’‰
#UkraineWillResist âœŠğŸ½âš–
JD Vance: Biden Should Focus on Southern Border, Not Ukraine https://t.co/4nXf0j3Agm",PlaschT,0.0,T A Madrid-Plasch,en,05/07/2018,0.94,0.39,0.02,0.39,0.94,0.01,0.01,0.899551324,0.9946592
42574,42574,42574,2022-02-20 21:58:54+00:00,1.49552E+18,"@Scaramucci Yeah, but ukraine doesn't stand a chance against russia.",mycarlisle,0.0,Mary G.,en,09/02/2009,0.97,0.1,0.02,0.34,0.97,0.0,0.0,0.923535424,0.9804828
42615,42615,42615,2022-02-20 21:57:12+00:00,1.49552E+18,"What MSM is NOT covering,, Now!      

Ukraine-Russia Crisis - LIVE BREAKING NEWS COVERAGE (Invasion Imminent?) https://t.co/FoeRxvkpdN via @YouTube",ydye,0.0,WHYiotta got the Spirit Of Slap,en,15/05/2009,0.91,0.22,0.04,0.36,0.91,0.02,0.0,0.874857504,0.9967269
44042,44042,44042,2022-02-21 23:57:21+00:00,1.49591E+18,"@aravosis @chipfranklin I trump were potus, russia wouldn't be invading Ukraine, they'd be invading the USA",bean_joyanna,1.0,Joyanna Bean,en,31/01/2020,0.82,0.13,0.0,0.34,0.82,0.01,0.01,0.819914854,0.9958644
46618,46618,46618,2022-02-21 23:25:48+00:00,1.4959E+18,@newtgingrich Newt Gingrich and Tucker Carlson disagree on Putin's aggression in Ukraine https://t.co/66Vo7cSOrF #Ukraine #Putin #NewtGingrich #TuckerCarlson #Russia,Alice_Maryland,0.0,AliceMaryland ğŸ‡ºğŸ‡¸,en,30/04/2009,0.72,0.15,0.02,0.4,0.2,0.0,0.0,0.691579952,0.9903011
47740,47740,47740,2022-02-21 23:12:41+00:00,1.4959E+18,"Trump tried to weaken NATO.

Magats : Dems always ""Russia Russia Russia"" 

Trump sides with Putin regularly vs. Ukraine 

Magats : ""Russia Russia Russia"" 

Today Russia starts invading Ukraine. 

Magats : Fake news",retweetmy2cents,2.0,ğŸ¤˜ReTweetMy2Centsâ„¢ğŸ¤˜,en,12/09/2018,0.82,0.19,0.0,0.15,0.14,0.0,0.0,0.577886208,0.9977796
49126,49126,49126,2022-02-22 23:37:54+00:00,1.49627E+18,Why has the MSM missed that Ukraine-Russia conflict may be caused by -- #water? @AgarIII  https://t.co/9K8JLJvhQV,Tangento,1.0,Alan Tangento ğŸ‡ºğŸ‡¸ Defender of Democracy ğŸ‡ºğŸ‡¦,en,16/04/2009,0.89,0.21,0.01,0.3,0.89,0.01,0.0,0.859506172,0.9912356
50477,50477,50477,2022-02-22 23:09:46+00:00,1.49626E+18,WTAF? Russia is invading Ukraine. Biden delivers a great speech and the GOP House members attack our US President. I suppose these asshats support Putin like the moron Trump does. #GOPTraitors https://t.co/nPQLfdvGyW,hikingismyjam,0.0,Lisa ğŸŒŠ,en,27/04/2008,0.75,0.08,0.08,0.15,0.18,0.01,0.01,0.659646495,0.99660087
50576,50576,50576,2022-02-22 23:07:45+00:00,1.49626E+18,"@chipfranklin If  Russian Sukhoi fighter jets flew into US buildings today, #GQP would blame Hillary and the architect.
#TraitorsToDemocracy choose #Russia over #Ukraine",DaysonRick,1.0,Rick DaysonğŸœğŸŒµ,en,19/08/2021,0.8,0.28,0.0,0.37,0.8,0.02,0.11,0.812935016,0.98435163
50715,50715,50715,2022-02-22 23:05:21+00:00,1.49626E+18,"@caslernoel @GOP Moscow should be just fine for their 4th of July party, after all, Russia is invading Ukraine and not Ukraine invading Russia.",WolverineDano,0.0,Blue Wolverine,en,12/06/2015,0.82,0.11,0.0,0.11,0.11,0.0,0.01,0.502712294,0.99638504
51293,51293,51293,2022-02-22 22:53:59+00:00,1.49626E+18,"@politvidchannel Candace, take some time to grow up and experience life. Russia invaded Ukraine.",Tink_240,2.0,Tink_240,en,06/02/2017,0.84,0.14,0.01,0.27,0.84,0.0,0.0,0.828754988,0.99288285
55448,55448,55448,2022-02-23 22:47:49+00:00,1.49662E+18,"@peterdaou ""If it bleeds, it leads"" is US MSM motto, so Russia invading Ukraine is their wildest dream come true, remember coverage of the Iraq War?
This is going to be like that, only even worse because there's even more 24/7 channels now, can't ignore it but don't want to obsess either ğŸ˜¼",purrmonsta,0.0,ğŸ‡ºğŸ‡¸ğŸ’™Puri MonstağŸ‡ºğŸ‡¸#MaskUPğŸŒŠMrsResistağŸ‡ºğŸ‡¸ #BLM,en,30/05/2010,0.87,0.19,0.02,0.33,0.87,0.0,0.01,0.845754353,0.9924558
55823,55823,55823,2022-02-23 22:37:45+00:00,1.49662E+18,"Can someone cyberattack Russia please??

Massive Cyberattack Hits Ukraine Government Sites https://t.co/DDtUIHhQ03",RInman715,1.0,Renee Inman,en,24/08/2012,0.76,0.07,0.03,0.31,0.17,0.02,0.02,0.641418422,0.9987742
57389,57389,57389,2022-02-24 23:52:24+00:00,1.497E+18,"@realTuckFrumper This was on the NBC world news and it showed this lady and others after Russia had bombed / blasted an apartment complex in Ukraine.

ğŸ™ğŸ™ğŸ™      ğŸ’™ğŸ’™ğŸ’™

#UnitedWithUkraine",furbehrrr,17.0,ğŸ§¢Jack ğŸ™ğŸŒğŸŒğŸŒğŸ•ŠğŸ™ğŸ‡ºğŸ‡¦ğŸ•¯ğŸ•¯ğŸ•¯,en,21/10/2015,0.89,0.4,0.03,0.54,0.89,0.01,0.01,0.859506172,0.9881615
63043,63043,63043,2022-02-25 23:40:34+00:00,1.49736E+18,"#Russia , via #Putin called the leader of Ukraine a fascist. He is Jewish! #bab_102",bab_102,1.0,Bab,en,12/01/2021,0.96,0.58,0.05,0.59,0.96,0.07,0.02,0.915837798,0.98859686
